"title";"field_contact_name:title";"field_contact_name:given";"field_contact_name:family";"field_telephone";"field_institution";"field_contact_email:email"
"Louis Alvarez (Universidad de Costa Rica)";"Dr.";"Louis";"Alvarez";"(888) 555-1234";"Universidad de Costa Rica";"louis.alvarez@basalt.com"
"Walter Armstrong (Universidad de Costa Rica)";"Dr.";"Walter";"Armstrong";"(999) 538-2214";"Universidad de Costa Rica";"w.armstrong@basalt.com"
"Roy Manning (Cambridge University)";"Prof.";"Roy";"Manning";"(777) 356-1234";"University of Cambridge";"rmanning@dacite.org"
"Tanya Barbosa (Cambridge University)";"Dr.";"Tanya";"Barbosa";"(888) 245-3234";"University of Cambridge";"tbarboso@dacite.org"
"Florence Bell (Université de Liège)";"Prof.";"Florence";"Bell";"(444) 235-1264";"Université de Liège";"florence.bell@scoria.org"
"Andrea Kuo (Université de Liège)";"";"Andrea";"Kuo";"(555) 837-1234";"Université de Liège";"akuo@uliege.com"
"Clarence Beche (Genome UK)";"Dr.";"Clarence";"Beche";"(888) 545-1234";"Genome UK";"cbeche@genomeuk.com"
"Mary Agassiz (Canadian Genomic Center)";"Dr.";"Mary";"Agassiz";"(888) 825-1344";"Canadian Genomic Center";"agassiz.m@cgc.ca"
"Andrew Lyell (BioBank Europe)";"";"Andrew";"Lyell";"(111) 765-3463";"BioBank Europe";"andrew.lyell@skarn.com"
"David Johnston (Helena Genomics)";"Mr.";"David";"Johnston";"(111) 553-3461";"Helena Genomics";"johnstondavid@skarn.com"
"Clifford Stewart (Devon University)";"Prof.";"Clifford";"Stewart";"(333) 523-3669";"Devon University";"clifford.s@devonu.edu"
"Eugene Steno (Tyrell Institute)";"Dr.";"Eugene";"Steno";"(111) 523-3361";"Tyrell Institute";"e.steno@tyrellinstitute.org"
"Ivan Walker (Atlantic Genomic Research)";"Dr.";"Ivan";"Walker";"+1 (777) 553-3671";"Atlantic Genomic Research";"i.walker@agr.org"
