"title";"field_contact_name:title";"field_contact_name:given";"field_contact_name:family";"field_contact_email:email";"field_telephone";"field_institution"
"Anne Tyler (University of Oxford)";"Prof.";"Anne";"Tyler";"";"";"University of Oxford"
"John Steinbeck (University of Oxford)";"Dr.";"John";"Steinbeck";"";"";"University of Oxford"
"John Steinbeck (UK Biobank)";"";"";"";"";"";""
"Ernest Hemingway (UK Biobank)";"Dr.";"Ernest";"Hemingway";"secretary@ukbiobank.ac.uk";"+44 161 475 5360";"UK Biobank"
"William Faulkner (University of Oxford)";"Prof.";"William";"Faulkner";"";"";"University of Oxford"
"Herman Melville (Imperial College London)";"Prof.";"Herman";"Melville";"";"";"Imperial College London"
"Mark Twain (University of Leicester)";"Prof.";"Mark";"Twain";"mark.twain@leicester.ac.uk";"+44 123 456 7890";"University of Leicester"
"Emily Dickinson (Karolinska Institute)";"Prof.";"Emily";"Dickinson";"";"";"Karolinska Institute"
"Torgny Lindgren (HUNT Research Centre)";"Dr.";"Torgny";"Lindgren";"torgny.lindgren@ntnu.no";"+47 47678921";"HUNT Research Centre"
"Johan Kling (HUNT Research Centre)";"";"Johan";"Kling";"johan.kling@ntnu.no ";"+47 7506 67890";"HUNT Research Centre"
"Henry James (Cardiff University)";"Dr.";"Henry";"James";"";"";"Cardiff University"
"Truman Capote (University of Glasgow)";"Prof.";"Truman";"Capote";"";"";"University of Glasgow"
"Leon Larson (Karolinska Institute)";"Prof.";"Leon";"Larson";"leon.larson@ki.se";"+46-8 234 56789";"Karolinska Institute"
"Marianne Fredriksson (Karolinska Institute)";"";"Marianne";"Fredriksson";"marianne.fredriksson@ki.se";"+46-8-234 567 72";"Karolinska Institute"
"Ludwig Ganghofer (Institute of Epidemiology)";"";"Ludwig";"Ganghofer";"ludwig.ganghofer@helmholtz-muenchen.de";"49 89 2345 6789";"Institute of Epidemiology"
"Christian Gieger (Institute of Epidemiology)";"Dr.";"Christian";"Gieger";"christian.gieger@helmholtz-muenchen.de";"+49 89 3187 4106";"Institute of Epidemiology"
"Per Ahlmark (University Medical Centre Groningen)";"";"Per";"Ahlmark";"per.ahlmark@int.umcg.nl";"+31-50-3333962";"University Medical Centre Groningen"
"Joseph Conrad (UK Biobank)";"";"Joseph";"Conrad";"joseph.conrad@ukbiobank.ac.uk";"01865 98798";"UK Biobank"
"Matt Beaumont (University of Manchester)";"Prof.";"Matt";"Beaumont";"";"";"University of Manchester"
