"contact_title","given_name","family_name","email","telephone","institution","address","city","postal_code","state","country","data_access_committee_member","id","title","published"
"Dr.","Clarence","Beche","cbeche@genomeuk.com ","(888) 545-1234","Genome UK","221B Baker Street","Bexley","EC1M 4AY","","GB","No","9","Dr. Clarence Beche (Genome UK)","Yes"
"Dr.","Eugene","Steno","e.steno@tyrellinstitute.org","(111) 523-3361","Tyrell Institute","6 Liberty Square","Boston","34193","","US","No","20","Dr. Eugene Steno (Tyrell Institute)","Yes"
"Prof.","Clifford","Stewart","clifford.s@devonu.edu","(333) 523-3669","Devon University","651A Bristol Road","Devon","FD1J 7Y2","","GB","No","19","Prof. Clifford Stewart (Devon University)","Yes"
"Mr.","David","Johnston","johnstondavid@skarn.com","(111) 553-3461","Helena Genomics","23 Cliff Drive","Santa Cruz","98327","","US","No","18","Mr. David Johnston (Helena Genomics)","Yes"
"Mr.","Andrew","Lyell","andrew.lyell@skarn.com","(111) 765-3463","BioBank Europe","5122 Avenue Alphonse Cherrier","Paris","35004","","FR","No","17","Mr. Andrew Lyell (BioBank Europe)","Yes"
"Dr.","Mary","Agassiz","agassiz.m@cgc.ca","(888) 825-1344","Canadian Genomic Center","821 boulevard René-Lévesque","Montreal","H2H 4N2","Quebec","CA","No","16","Dr. Mary Agassiz (Canadian Genomic Center)","Yes"
"Dr.","Louis","Alvarez","louis.alvarez@basalt.com","(888) 555-1234","Universidad de Costa Rica","2312 calle Royale","San Jose","J83JDN76","","CR","No","15","Dr. Louis Alvarez (Universidad de Costa Rica)","Yes"
"Dr.","Walter","Armstrong","w.armstrong@basalt.com","(999) 538-2214","Universidad de Costa Rica","2312 calle Royale","San Jose","J83JDN76","","CR","No","14","Dr. Walter Armstrong (Universidad de Costa Rica)","Yes"
"Prof.","Roy","Manning","rmanning@dacite.org","(777) 356-1234","University of Cambridge","34 Main Street","Cambridge","72914","","US","No","13","Prof. Roy Manning (University of Cambridge)","Yes"
"Dr.","Tanya","Barbosa","tbarboso@dacite.org","(888) 245-3234","University of Cambridge","34 Main Street","Cambridge","72914","","US","No","12","Dr. Tanya Barbosa (University of Cambridge)","Yes"
"Prof.","Florence","Bell","florence.bell@scoria.org","(444) 235-1264","Université de Liège","2245 rue Principale","Liège","12800","","BE","No","11","Prof. Florence Bell (Université de Liège)","Yes"
"Miss","Andrea","Kuo","akuo@uliege.com","(555) 837-1234","Université de Liège","2245 rue Principale","Liège","12800","","BE","No","10","Miss Andrea Kuo (Université de Liège)","Yes"
"Dr.","Ivan","Walker","i.walker@agr.org","+1 (777) 553-3671","Atlantic Genomic Research","347 Sao Tomé","Lisboa","281023","","PT","No","21","Dr. Ivan Walker (Atlantic Genomic Research)","Yes"
