"contact_title","given_name","family_name","email","telephone","institution","address","city","postal_code","state","country","data_access_committee_member","id","title"
"Dr.","Clarence","Beche","cbeche@genomeuk.com ","(888) 545-1234","Genome UK","221B Baker Street","Bexley","EC1M 4AY","GB","NO","14","8","Dr. Clarence Beche (Genome UK)"
"Dr.","Eugene","Steno","e.steno@tyrellinstitute.org","(111) 523-3361","Tyrell Institute","6 Liberty Square","Boston","34193","US","NO","19","19","Dr. Eugene Steno (Tyrell Institute)"
"Prof.","Clifford","Stewart","clifford.s@devonu.edu","(333) 523-3669","Devon University","651A Bristol Road","Devon","FD1J 7Y2","GB","NO","18","18","Prof. Clifford Stewart (Devon University)"
"Mr.","David","Johnston","johnstondavid@skarn.com","(111) 553-3461","Helena Genomics","23 Cliff Drive","Santa Cruz","98327","US","NO","17","17","Mr. David Johnston (Helena Genomics)"
"Mr.","Andrew","Lyell","andrew.lyell@skarn.com","(111) 765-3463","BioBank Europe","5122 Avenue Alphonse Cherrier","Paris","35004","FR","NO","16","16","Mr. Andrew Lyell (BioBank Europe)"
"Dr.","Mary","Agassiz","agassiz.m@cgc.ca","(888) 825-1344","Canadian Genomic Center","821 boulevard René-Lévesque","Montreal","H2H 4N2","Quebec","CA","No","15","Dr. Mary Agassiz (Canadian Genomic Center)"
"Dr.","Louis","Alvarez","louis.alvarez@basalt.com","(888) 555-1234","Universidad de Costa Rica","2312 calle Royale","San Jose","J83JDN76","CR","NO","7","14","Dr. Louis Alvarez (Universidad de Costa Rica)"
"Dr.","Walter","Armstrong","w.armstrong@basalt.com","(999) 538-2214","Universidad de Costa Rica","2312 calle Royale","San Jose","J83JDN76","CR","NO","9","13","Dr. Walter Armstrong (Universidad de Costa Rica)"
"Prof.","Roy","Manning","rmanning@dacite.org","(777) 356-1234","University of Cambridge","34 Main Street","Cambridge","72914","US","NO","No","12","Prof. Roy Manning (University of Cambridge)"
"Dr.","Tanya","Barbosa","tbarboso@dacite.org","(888) 245-3234","University of Cambridge","34 Main Street","Cambridge","72914","US","NO","No","11","Dr. Tanya Barbosa (University of Cambridge)"
